Aşağı Güneş (746+840)
Ağapınar (335+926)
Ağaver (1128+000)
Abalar (26+296)
Adana (369+958)
Adapazarı (8+491)
Adnanmenderes (18+018)
Afyon Ali Çetinkaya (161+230)
Afyon Şehir (419+938)
Ahatlı (367+069)
Ahmetler (234+991)
Ahmetli (113+694)
Şahnalar (1411+617)
Aşit (1293+750)
Aşkale (1093+457)
Akçadağ (222+991)
Akçagöze (39+151)
Akçakale (871+685)
Akçamağara (115+800)
Akdoğan (1015+095)
Akşehir (259+248)
Akgedik (109+429)
Akhisar (117+371)
Şakirpaşa (367+129)
Akkeçili (165+340)
Akkoyunlu (737+380)
Aksakal (313+706)
Akyaka (1418+410)
Akyamaç (375+060)
Akyarma (339+400)
Alaşehir (168+970)
Alaybey (10+290)
Alayunt Müselles (0+534)
Alayunt (66+874)
Aliağa (25+600)
Alibey (38+358)
Alifuatpaşa (156+042)
Alöve (120+500)
Alp (902+078)
Alpu (352+559)
Alpullu (229+394)
Alsancak (0)
Altay (21+094)
Altınbaşak (951+624)
Altunkent (1011+746)
Alvar (1180+760)
Amasya (133+076)
Ambar (34+577)
Andaval (72+050)
Ankara HT
Araplı (104+181)
Argıthan (286+930)
Arifiye (0+000)
Arıkbaşı (62+612)
Şarkışla (510+125)
Arıkören (61+941)
Armutlu (211+150)
Artova (276+571)
Arzuoğlu (23+150)
Atasanayi (18+303)
Atça (164+499)
Atkaracalar (188+409)
Atma (838+900)
Avşar (729+205)
Aydın (130+012)
Ayran (500+887)
Ayrancı (147+870)
Ayrilikçeşmesı
Ayvacık (45+229)
Ayvalı (256+382)
Ayvaz (671+120)
Azot K (3+942)
Babaeski (10+291)
Bağderesi (8+303)
Başgedik (1397+794)
Bahçe (492+954)
Bahçeşehir (495+494)
Bahçelievler (1+145)
Bahçeliköy (755+290)
Bahçetepe (310+967)
Bahçıvanova (11+600)
Bakacakkadı (359+640)
Başkimse (379+300)
Başköy (136+896)
Bakır (136+205)
Balabanlı (169+508)
Bağlar (100+000)
Balışeyh (113+962)
Balıkesir Müselles
Balıkesir (262+651)
Balıköy (109+985)
Balıkısık (319+344)
Ballıhoca (186+950)
Balmahmut (395+783)
Banaz (327+179)
Bandırma Şehir (341+724)
Bandırma Gar (341+156)
Başpınar (66+707)
Baraklı (352+110)
Baskil (318+936)
Basmane (0)
Bağıştaş (822+102)
Batman (90+532)
Battalgazi (264+261)
Bayındır MYO (79+800)
Bayındır (76+788)
Bayraklı (6+134)
Bayramlı (260+075)
Bayırköy (210+106)
Bedirli (550+606)
Behiçbey (567+938)
Beşiri (123+239)
Bekçiler (830+800)
Bekdiğin (73+312)
Belediye E (2+472)
Belemedik (291+311)
Benliahmet (1340+889)
Bereket (30+022)
Beyce (172+842)
Beydeğirmeni (350+166)
Beyhan (112+774)
Beylikköprü (467+099)
Beylikova HT
Beylikova (374+641)
Beyoğlu (28+620)
Beytiköy (105+535)
Biçer HT
Biçer (433+093)
Biçerova (20+400)
Bilecik HT
Bilecik (231+891)
Bismil (47+382)
Boğazköprü Müselles
Boğazköprü (364+990)
Boğazköy (120+044)
Böğecik (172+013)
Bolkuş (304+619)
Bor (45+170)
Bostankaya (630+354)
Bozanönü (438+932)
Bozarmut (691+140)
Bozdemir (14+333)
Bozhük (130+000)
Bozkurt (302+580)
Bozüyük HT
Bozüyük (263+263)
Buharkent (212+615)
Bulgurlu (198+892)
Buğra (35+200)
